# MJD,Non_Corr_Flux,Corr_Flux,Eflux,Telescope
5.188735962999984622e+04,1.068747642888262739e+00,9.757125030613401639e-01,2.331885962949924521e-02,1.000000000000000000e+00
5.190034297000011429e+04,1.084613910032216300e+00,1.006939612698543263e+00,1.890659502322393493e-02,1.000000000000000000e+00
5.190334677999978885e+04,1.082617816410097689e+00,9.857553514453162302e-01,1.931119525166732215e-02,1.000000000000000000e+00
5.190535319000016898e+04,1.092383596150742653e+00,9.861334264734169519e-01,1.871964991967294337e-02,1.000000000000000000e+00
5.190734975000005215e+04,9.722437721811401090e-01,9.923775630673751236e-01,1.455849802937927984e-02,1.000000000000000000e+00
5.191430180000001565e+04,1.027247681911143573e+00,1.026479034021669623e+00,1.931194083406549689e-02,1.000000000000000000e+00
5.191930822000000626e+04,1.092132094488620586e+00,1.030037900064582068e+00,2.082902354226238290e-02,1.000000000000000000e+00
5.192130734999990091e+04,1.116542271769937145e+00,1.006929247284955364e+00,1.863291781047861709e-02,1.000000000000000000e+00
5.192437395999999717e+04,1.134945925093394870e+00,1.046351841545207328e+00,1.855470292688927297e-02,1.000000000000000000e+00
5.192536420000018552e+04,1.109622284075397314e+00,1.017227477856968321e+00,1.752107620723742862e-02,1.000000000000000000e+00
5.192635595000023022e+04,1.027957524613654083e+00,9.983954978335873864e-01,1.553692180540235113e-02,1.000000000000000000e+00
5.192838743000011891e+04,1.104015497771580145e+00,9.983319474424243722e-01,1.983123553881165763e-02,1.000000000000000000e+00
5.193029538000002503e+04,1.013619997124540761e+00,1.007474508663703583e+00,1.540238492134020365e-02,1.000000000000000000e+00
5.193229289999976754e+04,1.054326615224625341e+00,9.786522828483302794e-01,1.632745612449372496e-02,1.000000000000000000e+00
5.193524429999990389e+04,1.092132094488620586e+00,9.913305362042175162e-01,1.744690625709565887e-02,1.000000000000000000e+00
5.193732426000013947e+04,1.110644754760336861e+00,1.030467187585710542e+00,1.747323708311138840e-02,1.000000000000000000e+00
5.193932629000023007e+04,9.733637537789540106e-01,9.665439130178636873e-01,1.460994707153670871e-02,1.000000000000000000e+00
5.194624955999990925e+04,9.751584085051806516e-01,1.011913066500340408e+00,1.726248836995952773e-02,1.000000000000000000e+00
5.194828841000003740e+04,1.070471649573737416e+00,9.990208752106093382e-01,1.783665829711749556e-02,1.000000000000000000e+00
5.195327755999984220e+04,1.172398272663897290e+00,1.047770899824186808e+00,1.924726288044400352e-02,1.000000000000000000e+00
5.195530500999977812e+04,1.196396599315344922e+00,1.007511937074526243e+00,1.611715830682857592e-02,1.000000000000000000e+00
5.195829738999996334e+04,9.704544814714739509e-01,1.019915930115100622e+00,1.744289777927227059e-02,1.000000000000000000e+00
5.196128561000013724e+04,1.002940502034786574e+00,1.065059215084759314e+00,1.842047373719778169e-02,1.000000000000000000e+00
5.196430115999979898e+04,1.072198437270308169e+00,9.325081740975755817e-01,1.555088040097526297e-02,1.000000000000000000e+00
5.196528299000021070e+04,9.549379874035934801e-01,9.938927176147216436e-01,1.629019277524136264e-02,1.000000000000000000e+00
5.196629887000005692e+04,9.882689937795545720e-01,9.359242252995514377e-01,1.815728402139364650e-02,1.000000000000000000e+00
5.196731277999980375e+04,1.052143968511521921e+00,9.859856275491517552e-01,1.848082891455595303e-02,1.000000000000000000e+00
5.196731277999980375e+04,1.084613910032214079e+00,1.006548596198026724e+00,1.886346395732649631e-02,1.000000000000000000e+00
5.197631477000005543e+04,1.030801803928022009e+00,9.866637569150943365e-01,2.276776479987342033e-02,1.000000000000000000e+00
5.202513767000008374e+04,1.096163078604998509e+00,9.956280252955651555e-01,1.925894660327332961e-02,1.000000000000000000e+00
5.202615034999977797e+04,8.862886137407920417e-01,9.614924332176886246e-01,1.712507684839718186e-02,1.000000000000000000e+00
5.202714005000004545e+04,1.081870228753810670e+00,1.030218138200550637e+00,2.097208938661067681e-02,1.000000000000000000e+00
5.203012425999995321e+04,9.620002167851244845e-01,9.537944236809268173e-01,2.033859141627122891e-02,1.000000000000000000e+00
5.203114802000019699e+04,1.063837193512650270e+00,9.624467391071217515e-01,2.139360595291532607e-02,1.000000000000000000e+00
5.203213127999985591e+04,9.958069887489513494e-01,1.016753301587940639e+00,1.693645103609999966e-02,1.000000000000000000e+00
5.203713162000011653e+04,1.117313818299190853e+00,1.040270127201524009e+00,2.362315308533296035e-02,1.000000000000000000e+00
5.205207021000003442e+04,1.042017877150936078e+00,9.634880144974360405e-01,2.192458977918015917e-02,1.000000000000000000e+00
5.205310085000004619e+04,1.135730188807842600e+00,1.021636812688040408e+00,2.240566747727000541e-02,1.000000000000000000e+00
5.205410627999994904e+04,9.812398330438951710e-01,9.468254150516554057e-01,2.371465207439124590e-02,1.000000000000000000e+00
5.205608731999993324e+04,1.126614067866348545e+00,1.069257178264143793e+00,2.097636645634989860e-02,1.000000000000000000e+00
5.205707798000006005e+04,1.041058585056861219e+00,1.004976210931038505e+00,2.357202704007242341e-02,1.000000000000000000e+00
5.206805604000017047e+04,1.111924168136520397e+00,1.049001291723908214e+00,2.375973298033281014e-02,1.000000000000000000e+00
5.206906313000014052e+04,1.099196077435199870e+00,1.006194903093925008e+00,2.151939985176409137e-02,1.000000000000000000e+00
5.207005347000015900e+04,1.139134932100962061e+00,1.041249323485273548e+00,2.181164533843842415e-02,1.000000000000000000e+00
5.208102203000010923e+04,1.089871183598303039e+00,9.748034660799553830e-01,2.048711043275518173e-02,1.000000000000000000e+00
5.208502069000015035e+04,1.104269736003474778e+00,9.934928872924265741e-01,1.766373838284651665e-02,1.000000000000000000e+00
5.208602492999983951e+04,1.136253332337327393e+00,1.033107750253954515e+00,2.388118677252433139e-02,1.000000000000000000e+00
5.208701629000017419e+04,9.816918147509883230e-01,9.700707273877696712e-01,2.074325062758297991e-02,1.000000000000000000e+00
5.208801723999995738e+04,1.062857814337400564e+00,9.997319639502337818e-01,1.831994522619992058e-02,1.000000000000000000e+00
5.209298634999990463e+04,1.120663352164410043e+00,1.013003522963118463e+00,2.108349321686286970e-02,1.000000000000000000e+00
5.210197461999999359e+04,9.657732450379297173e-01,9.856107518446969307e-01,2.100112945819563454e-02,1.000000000000000000e+00
5.210403232999984175e+04,1.022763380396629174e+00,9.570927233542494417e-01,1.689634917685691948e-02,1.000000000000000000e+00
5.210603224000008777e+04,1.030564480365200319e+00,1.009510714358641259e+00,1.772128169425347954e-02,1.000000000000000000e+00
5.211510421000001952e+04,1.079879184527290370e+00,9.947425368790847600e-01,2.046291050855678084e-02,1.000000000000000000e+00
5.211700166000006720e+04,9.758322567817530047e-01,9.813685605126644118e-01,1.841687795995428437e-02,1.000000000000000000e+00
5.212498345000017434e+04,1.040100176096697915e+00,9.917562193643187918e-01,1.796108594043733728e-02,1.000000000000000000e+00
5.212898604999994859e+04,1.069486162651792416e+00,9.991716013524182260e-01,1.688084515934696467e-02,1.000000000000000000e+00
5.213102651000022888e+04,1.012453695482888216e+00,1.003520707683280166e+00,1.666689556968794367e-02,1.000000000000000000e+00
5.213398310999991372e+04,1.002478737198398084e+00,9.908035182174292910e-01,1.803342773376525460e-02,1.000000000000000000e+00
5.214097764999978244e+04,1.044419976439197484e+00,9.953514172688590067e-01,1.749219935208977741e-02,1.000000000000000000e+00
5.244004436000017449e+04,1.079133487997643082e+00,9.833306147041702694e-01,1.377242011354793717e-02,1.000000000000000000e+00
5.244203494000015780e+04,1.091880650730227442e+00,1.037818142730390303e+00,1.538090078310693117e-02,1.000000000000000000e+00
5.244303477999987081e+04,1.011055904792882210e+00,1.002008868357356919e+00,1.442798954889453616e-02,1.000000000000000000e+00
