# MJD,Flux,Eflux
5.860220361712398881e+04,9.950899145889108288e-01,8.960125897721308305e-04
5.860222445068874367e+04,9.980249432699265233e-01,8.947828899078168153e-04
5.860224528425308381e+04,9.916985539453865295e-01,8.943482565721989214e-04
5.860226611781674728e+04,1.008143052097326464e+00,8.944575220803042048e-04
5.860228695137946488e+04,9.938982468887385124e-01,8.950237879086837172e-04
5.860230778494097467e+04,9.961734078560601224e-01,8.951200007657672325e-04
5.860232861850102927e+04,9.933178588392562736e-01,8.962476261175951345e-04
5.860234945205938857e+04,1.010657984705213730e+00,8.942997098620571400e-04
5.860237028561583429e+04,9.980044532644867239e-01,8.951303495677777767e-04
5.860239111917016271e+04,9.981989906643862209e-01,8.967676694298899135e-04
5.860241195272220648e+04,1.002060121996708908e+00,8.952632529831554579e-04
5.860243278627182735e+04,9.950390197904449563e-01,8.958690975914595286e-04
5.860245361981889437e+04,1.001075887261027253e+00,8.956024935362236162e-04
5.860247445336334204e+04,9.904528522886141273e-01,8.954246318084333953e-04
5.860249528690510488e+04,9.962843126431435437e-01,8.966550332332643390e-04
5.860251612044418289e+04,9.884373642596107068e-01,8.958717240149470778e-04
5.860253695398059790e+04,1.003103855516566778e+00,8.960862516288471387e-04
5.860255778751439357e+04,1.002192222712029013e+00,8.961469017482241685e-04
5.860257862104566448e+04,9.986478705390060551e-01,8.961749773854734607e-04
5.860259945457454160e+04,9.992252747736382057e-01,8.969110825386739398e-04
5.860262028810116317e+04,1.002701311110711258e+00,8.970558165350370769e-04
5.860266195514840365e+04,1.012702539940622648e+00,8.991524329140739057e-04
5.860268278866944456e+04,1.001276510158354949e+00,8.971152657671336477e-04
5.860270362218908122e+04,1.004778484407528927e+00,8.977975827339619791e-04
5.860274528922516765e+04,9.977626248476085813e-01,8.971942043495275635e-04
5.860276612274214858e+04,1.006562336429051907e+00,8.970292344904992089e-04
5.860280778977529553e+04,9.881615075968714912e-01,8.962084684633406110e-04
5.860282862329197087e+04,9.953054738701598847e-01,8.969088688377621242e-04
5.860284945680903911e+04,9.936883712880938413e-01,8.970246854972116837e-04
5.860287029032671853e+04,9.965315797324952873e-01,8.953414188590726620e-04
5.860293279088524287e+04,9.926523327624354742e-01,8.945486865804882105e-04
5.860295362440705503e+04,9.981564827799224160e-01,8.950448117223148026e-04
5.860297445793017687e+04,9.890572248544060585e-01,8.946012550865624097e-04
5.860299529145465931e+04,9.956336562055896344e-01,8.957284251727970752e-04
5.860303695850769873e+04,1.005717614882407407e+00,8.932282145223072872e-04
5.860314112616066996e+04,9.961549211635308820e-01,8.923094625043559783e-04
5.860316195969360706e+04,9.949334568695604730e-01,8.933353150913759351e-04
5.860322446029327693e+04,9.957878576490609701e-01,8.911056294652481549e-04
5.860324529382595210e+04,9.956671627974129635e-01,8.908359427097478070e-04
5.860328696088887227e+04,1.010336588938040014e+00,8.906762584136480865e-04
5.860330779441860068e+04,9.899971854478430977e-01,8.893287695768180637e-04
5.860334946147335722e+04,9.908314498219401578e-01,8.915527473108807036e-04
5.860337029499792698e+04,9.979712064442890496e-01,8.884194884988898776e-04
5.860343279555816116e+04,1.002513573638672550e+00,8.881077365666359847e-04
5.860349529609555611e+04,1.013049185676978547e+00,8.868370921492474543e-04
5.860351612960266357e+04,1.005625551809856466e+00,8.867743368594049576e-04
5.860353696310711530e+04,1.010217418941503631e+00,8.860953027548721089e-04
5.860355779660895496e+04,1.003295513985184462e+00,8.856245831199725587e-04
5.860359946360523463e+04,1.009842689077938171e+00,8.855893596873137819e-04
5.860362029709995113e+04,1.011380075389189281e+00,8.834163513334341742e-04
5.860372446454723831e+04,9.932591919608450004e-01,8.815911922525300135e-04
5.860374529803311452e+04,1.011778256274725951e+00,8.809003033528883808e-04
5.860382863197333063e+04,1.001349629786606465e+00,8.777290850766058606e-04
5.860387029894496663e+04,1.002368876370363759e+00,8.758305964778131817e-04
5.860389113243193424e+04,9.993208388566003908e-01,8.754931341841356738e-04
5.860393279940898356e+04,9.969457698677612889e-01,8.734996521708588953e-04
5.860395363289931993e+04,9.953251488602021801e-01,8.725986102257478989e-04
5.860397446639097325e+04,9.941525322197957149e-01,8.731458292328640996e-04
5.860401613337836898e+04,1.001741736812778560e+00,8.704284232974194907e-04
5.860405780037107615e+04,1.012153595590426391e+00,8.698255953046603447e-04
5.860407863386924873e+04,9.987931700422052472e-01,8.689741427746065956e-04
5.860409946736847633e+04,9.996902982943911553e-01,8.685462702541375249e-04
5.860416196787076478e+04,9.957436094337963617e-01,8.665972117465419421e-04
5.860418280137237161e+04,1.007297368317688457e+00,8.668916171035674157e-04
5.860420363487401482e+04,9.980396337819521513e-01,8.659522853106883973e-04
5.860422446837543248e+04,1.006488186153989162e+00,8.660215293016444195e-04
5.860426613537654339e+04,9.981904828016016085e-01,8.655118884029897519e-04
5.860430780237358704e+04,9.942464880818440154e-01,8.650019546871874935e-04
5.860434946936455526e+04,9.882810979769010018e-01,8.654795184634983150e-04
5.860437030285718356e+04,9.910475690259517023e-01,8.649541607034878701e-04
5.860441196983580448e+04,9.964615983388271925e-01,8.640419318766267166e-04
5.860443280332147697e+04,9.927345970205541104e-01,8.653524625696598811e-04
5.860447447028503666e+04,9.884142974382317259e-01,8.646005388089535995e-04
5.860449530376281473e+04,9.990419833099696278e-01,8.662609746577092399e-04
5.860451613723789342e+04,9.970941589091728563e-01,8.657652050538111729e-04
5.860453697071032366e+04,9.993703482555404971e-01,8.656672710931929016e-04
5.860455780418015638e+04,9.918614776800945831e-01,8.677320083702629982e-04
5.860457863764748618e+04,1.011473794300373319e+00,8.663841547162956470e-04
5.860459947111245128e+04,1.007200622251749556e+00,8.667071568931915618e-04
5.860462030457521178e+04,9.884153018074596231e-01,8.669863122038619753e-04
5.860464113803594955e+04,9.895712392600110041e-01,8.681992941334069208e-04
5.860466197149487562e+04,1.000024768403655839e+00,8.698337475182337051e-04
5.860468280495221552e+04,1.004659853505028178e+00,8.684647203160479091e-04
5.860472447186312638e+04,1.006268042367455040e+00,8.683680707180798340e-04
5.860476613877076306e+04,1.003492173648614205e+00,8.703946512581518195e-04
5.860478697222400660e+04,1.005576737464972892e+00,8.703775943990622833e-04
5.860482863913066103e+04,1.008429373504076354e+00,8.723795851306465760e-04
5.860484947258454486e+04,1.003344932315446192e+00,8.727606049555688061e-04
5.860487030603908352e+04,1.001534388121569696e+00,8.739858639739937762e-04
5.860489113949447346e+04,1.003055435121694039e+00,8.749633785037417818e-04
5.860491197295088205e+04,1.011394178194438886e+00,8.751142911805295278e-04
5.860495363986724260e+04,1.000845930740956957e+00,8.762367186343645448e-04
5.860497447332737647e+04,9.893086955040539809e-01,8.777738260489421256e-04
5.860499530678887095e+04,1.005584868920622599e+00,8.787557905264782067e-04
