HJD,mag,emag
56091.9949940001,12.359364,0.013551
56091.9950979999,12.34963,0.013492
56091.9951909999,12.359586,0.013436
56097.9706080002,12.35499,0.014225
56097.970712,12.352654,0.014126
56097.9708039998,12.332604,0.01383
56098.9704220002,12.302768,0.016131
56099.9705730001,12.325615,0.013452
56099.9707,12.349056,0.013777
56099.9708039998,12.263593,0.012629
56100.9704570002,12.31493,0.013662
56100.9705610001,12.345114,0.014221
56100.9706540001,12.208478,0.01242
56101.9707579999,12.372816,0.014006
56101.9708619998,12.37715,0.014002
56101.9709549998,12.370969,0.014044
56102.9709549998,12.368679,0.013401
56102.971047,12.355092,0.013374
56102.97114,12.350034,0.013416
56104.145666,12.427761,0.013682
56104.1457580002,12.371906,0.013385
56104.1458510002,12.378234,0.013419
56104.9718809999,12.314817,0.0128
56104.9719730001,12.334959,0.01284
56104.9720660001,12.28929,0.012629
56109.9730150001,12.310231,0.014665
56109.973119,12.311984,0.014499
56109.973212,12.341544,0.014605
56110.9729920002,12.32488,0.013131
56110.973096,12.331757,0.013764
56110.9731999999,12.309701,0.013388
56113.052656,12.350369,0.015114
56113.052749,12.378117,0.015076
56114.2122510001,12.319072,0.015321
56114.2123440001,12.403109,0.015695
56114.2124359999,12.404802,0.015898
56114.9739990002,12.328495,0.014118
56114.9740909999,12.303682,0.013666
56114.9741839999,12.311174,0.01372
56115.97401,12.30917,0.014139
56115.9741150001,12.328398,0.013876
56115.9742069999,12.320776,0.013884
56116.974554,12.34297,0.013264
56116.9746590001,12.328058,0.013115
56116.9747509998,12.303675,0.013096
56117.9745780001,12.302547,0.01265
56117.9746699999,12.313206,0.01275
56117.9747629999,12.285328,0.012645
56118.9751909999,12.226487,0.012385
56118.9752949998,12.242816,0.012354
56118.9753879998,12.273595,0.012462
56120.1198669998,12.353517,0.013859
56120.119959,12.372879,0.014062
56120.1200410002,12.397199,0.014092
56123.1360709998,12.325457,0.012837
56123.136163,12.322845,0.013232
56123.136256,12.359596,0.013377
56123.9765570001,12.330187,0.012605
56123.9766489998,12.333408,0.01269
56123.9767419999,12.413098,0.013558
56124.9771699999,12.426569,0.01379
56124.9772629999,12.389064,0.013607
56124.9773550001,12.384196,0.013671
56125.9775169999,12.385561,0.01338
56125.977622,12.36577,0.0133
56125.9777139998,12.398351,0.013449
56127.9782349998,12.337949,0.014631
56127.9783279998,12.29171,0.014439
56127.9784090002,12.309093,0.014418
