# HJD mag emag
5.610596175000000221e+04 1.238700000000000045e+01 8.000000000000000167e-03
5.610596416999999929e+04 1.239700000000000024e+01 7.000000000000000146e-03
5.610596658000000025e+04 1.239400000000000013e+01 7.000000000000000146e-03
5.610596899999999732e+04 1.240600000000000058e+01 8.000000000000000167e-03
5.610597142000000167e+04 1.239600000000000080e+01 7.000000000000000146e-03
5.610597383999999875e+04 1.240099999999999980e+01 7.000000000000000146e-03
5.610597624000000360e+04 1.241999999999999993e+01 8.000000000000000167e-03
5.610597866000000067e+04 1.238400000000000034e+01 7.000000000000000146e-03
5.610598107999999775e+04 1.237700000000000067e+01 7.000000000000000146e-03
5.610598350000000210e+04 1.238400000000000034e+01 7.000000000000000146e-03
5.610598591999999917e+04 1.238599999999999923e+01 7.000000000000000146e-03
5.610598834000000352e+04 1.239000000000000057e+01 7.000000000000000146e-03
5.610599076999999670e+04 1.237800000000000011e+01 7.000000000000000146e-03
5.610599319000000105e+04 1.238400000000000034e+01 7.000000000000000146e-03
5.610599560999999812e+04 1.239199999999999946e+01 7.000000000000000146e-03
5.610599801999999909e+04 1.238000000000000078e+01 7.000000000000000146e-03
5.610600029999999970e+04 1.239899999999999913e+01 7.000000000000000146e-03
5.610600244999999995e+04 1.237899999999999956e+01 8.000000000000000167e-03
5.610600458999999682e+04 1.239400000000000013e+01 8.000000000000000167e-03
5.610600673999999708e+04 1.238400000000000034e+01 8.000000000000000167e-03
5.610600888000000123e+04 1.238199999999999967e+01 7.000000000000000146e-03
5.610601103999999759e+04 1.237100000000000044e+01 7.000000000000000146e-03
5.610601318999999785e+04 1.238199999999999967e+01 7.000000000000000146e-03
5.610601533999999810e+04 1.235899999999999999e+01 7.000000000000000146e-03
5.610601748999999836e+04 1.236800000000000033e+01 8.000000000000000167e-03
5.610601963999999862e+04 1.237599999999999945e+01 7.000000000000000146e-03
5.610602178999999887e+04 1.237299999999999933e+01 7.000000000000000146e-03
5.610696188000000257e+04 1.238799999999999990e+01 7.000000000000000146e-03
5.610696429000000353e+04 1.238000000000000078e+01 7.000000000000000146e-03
5.610696671000000060e+04 1.238799999999999990e+01 7.000000000000000146e-03
5.610696910999999818e+04 1.237599999999999945e+01 8.000000000000000167e-03
5.610697153000000253e+04 1.238000000000000078e+01 7.000000000000000146e-03
5.610697394999999960e+04 1.236899999999999977e+01 7.000000000000000146e-03
5.610697636999999668e+04 1.237899999999999956e+01 8.000000000000000167e-03
5.610697877999999764e+04 1.238299999999999912e+01 8.000000000000000167e-03
5.610698120000000199e+04 1.239499999999999957e+01 7.000000000000000146e-03
5.610698361999999906e+04 1.238700000000000045e+01 8.000000000000000167e-03
5.610698604000000341e+04 1.238700000000000045e+01 8.000000000000000167e-03
5.610698844999999710e+04 1.237400000000000055e+01 7.000000000000000146e-03
5.610699087000000145e+04 1.238299999999999912e+01 8.000000000000000167e-03
5.610699328999999852e+04 1.238499999999999979e+01 8.000000000000000167e-03
5.610699569999999949e+04 1.240000000000000036e+01 8.000000000000000167e-03
5.610699798000000010e+04 1.239700000000000024e+01 8.000000000000000167e-03
5.610700013000000035e+04 1.238700000000000045e+01 7.000000000000000146e-03
5.610700226999999722e+04 1.238199999999999967e+01 8.000000000000000167e-03
5.610700443000000087e+04 1.238899999999999935e+01 8.000000000000000167e-03
5.610700656999999774e+04 1.239300000000000068e+01 8.000000000000000167e-03
5.610700871999999799e+04 1.239100000000000001e+01 8.000000000000000167e-03
5.610701086000000214e+04 1.238499999999999979e+01 8.000000000000000167e-03
5.610701301999999851e+04 1.237299999999999933e+01 8.000000000000000167e-03
5.610701516999999876e+04 1.237599999999999945e+01 8.000000000000000167e-03
5.610701731000000291e+04 1.238499999999999979e+01 8.000000000000000167e-03
5.610701946000000316e+04 1.239000000000000057e+01 8.000000000000000167e-03
5.610796248999999807e+04 1.238700000000000045e+01 8.000000000000000167e-03
5.610796491000000242e+04 1.238100000000000023e+01 8.000000000000000167e-03
5.610796732999999949e+04 1.238899999999999935e+01 8.000000000000000167e-03
5.610796974999999657e+04 1.240099999999999980e+01 8.000000000000000167e-03
