MJD,mag,emag
5.680512562000006437e+04,1.242300000000000004e+01,2.000000000000000042e-02
5.680911421999987215e+04,1.234999999999999964e+01,2.000000000000000042e-02
5.681010663999989629e+04,1.242800000000000082e+01,2.000000000000000042e-02
5.681410021999990568e+04,1.239600000000000080e+01,2.000000000000000042e-02
5.682617995999986306e+04,1.242900000000000027e+01,2.000000000000000042e-02
5.682810401999996975e+04,1.239300000000000068e+01,2.000000000000000042e-02
5.682908831000002101e+04,1.241900000000000048e+01,2.000000000000000042e-02
5.683109476999985054e+04,1.242699999999999960e+01,2.000000000000000042e-02
5.683309481000015512e+04,1.241000000000000014e+01,2.000000000000000042e-02
5.683708612000010908e+04,1.246899999999999942e+01,2.000000000000000042e-02
5.684505826999992132e+04,1.240799999999999947e+01,2.000000000000000042e-02
5.685014589999988675e+04,1.245599999999999952e+01,2.000000000000000042e-02
5.685504324000002816e+04,1.244500000000000028e+01,2.000000000000000042e-02
5.685605478999996558e+04,1.244100000000000072e+01,2.000000000000000042e-02
5.685804039999982342e+04,1.243900000000000006e+01,2.000000000000000042e-02
5.686305182999977842e+04,1.242999999999999972e+01,2.000000000000000042e-02
5.687301079999981448e+04,1.237800000000000011e+01,2.000000000000000042e-02
5.687700119999982417e+04,1.239400000000000013e+01,2.000000000000000042e-02
5.687907233999995515e+04,1.241300000000000026e+01,2.000000000000000042e-02
5.687997164000011981e+04,1.239000000000000057e+01,2.000000000000000042e-02
5.688100757999997586e+04,1.238599999999999923e+01,2.000000000000000042e-02
5.688199771999986842e+04,1.243099999999999916e+01,2.000000000000000042e-02
5.688505989000014961e+04,1.243099999999999916e+01,2.000000000000000042e-02
5.688598223999980837e+04,1.236299999999999955e+01,2.000000000000000042e-02
5.688905385999986902e+04,1.237199999999999989e+01,2.000000000000000042e-02
5.689100595000013709e+04,1.238499999999999979e+01,2.000000000000000042e-02
5.689198280999995768e+04,1.240300000000000047e+01,2.000000000000000042e-02
5.689602940999995917e+04,1.238299999999999912e+01,2.000000000000000042e-02
5.690601628000009805e+04,1.241300000000000026e+01,2.000000000000000042e-02
5.701235631000017747e+04,1.241699999999999982e+01,2.000000000000000042e-02
5.701734580999985337e+04,1.237700000000000067e+01,2.000000000000000042e-02
5.701935187999997288e+04,1.241699999999999982e+01,2.000000000000000042e-02
5.702135458000004292e+04,1.240399999999999991e+01,2.000000000000000042e-02
5.702435315999994054e+04,1.242300000000000004e+01,2.000000000000000042e-02
5.703033189000003040e+04,1.240499999999999936e+01,2.000000000000000042e-02
5.703931650000018999e+04,1.241000000000000014e+01,2.000000000000000042e-02
5.704431101999990642e+04,1.241099999999999959e+01,2.000000000000000042e-02
5.704531004999997094e+04,1.242600000000000016e+01,2.000000000000000042e-02
5.704731490000011399e+04,1.241600000000000037e+01,2.000000000000000042e-02
5.704832219999982044e+04,1.243299999999999983e+01,2.000000000000000042e-02
5.705130794999981299e+04,1.243599999999999994e+01,2.000000000000000042e-02
5.705331290999986231e+04,1.242300000000000004e+01,2.000000000000000042e-02
5.706722276999987662e+04,1.244500000000000028e+01,2.000000000000000042e-02
5.706928262999979779e+04,1.241799999999999926e+01,2.000000000000000042e-02
5.707128629000019282e+04,1.238899999999999935e+01,2.000000000000000042e-02
5.707428870999999344e+04,1.241099999999999959e+01,2.000000000000000042e-02
5.707726991999987513e+04,1.239499999999999957e+01,2.000000000000000042e-02
5.707935032000020146e+04,1.240499999999999936e+01,2.000000000000000042e-02
5.708127365999994799e+04,1.240799999999999947e+01,2.000000000000000042e-02
5.708326518000010401e+04,1.243999999999999950e+01,2.000000000000000042e-02
5.709415584000013769e+04,1.240199999999999925e+01,2.000000000000000042e-02
5.709735539000015706e+04,1.238899999999999935e+01,2.000000000000000042e-02
5.710022361999982968e+04,1.238400000000000034e+01,2.000000000000000042e-02
5.710922848000004888e+04,1.241699999999999982e+01,2.000000000000000042e-02
5.712312510999990627e+04,1.240700000000000003e+01,2.000000000000000042e-02
5.712713537999987602e+04,1.238899999999999935e+01,2.000000000000000042e-02
5.713528246999997646e+04,1.239100000000000001e+01,2.000000000000000042e-02
5.713622281000018120e+04,1.241000000000000014e+01,2.000000000000000042e-02
5.713917831999994814e+04,1.242300000000000004e+01,2.000000000000000042e-02
5.715330016000010073e+04,1.241200000000000081e+01,2.000000000000000042e-02
5.715421134999999776e+04,1.241000000000000014e+01,2.000000000000000042e-02
5.715719375000009313e+04,1.239100000000000001e+01,2.000000000000000042e-02
5.716011909000016749e+04,1.239199999999999946e+01,2.000000000000000042e-02
5.716312967999977991e+04,1.238499999999999979e+01,2.000000000000000042e-02
5.717317403999995440e+04,1.240600000000000058e+01,2.000000000000000042e-02
5.718012330000009388e+04,1.239000000000000057e+01,2.000000000000000042e-02
5.718203058000002056e+04,1.239499999999999957e+01,2.000000000000000042e-02
5.718606691000005230e+04,1.238599999999999923e+01,2.000000000000000042e-02
5.718901197999995202e+04,1.240900000000000070e+01,2.000000000000000042e-02
5.722702620999980718e+04,1.241399999999999970e+01,2.000000000000000042e-02
5.723306418999982998e+04,1.243099999999999916e+01,2.000000000000000042e-02
5.724899827999994159e+04,1.243599999999999994e+01,2.000000000000000042e-02
5.725598076999979094e+04,1.239300000000000068e+01,2.000000000000000042e-02
5.726503083000006154e+04,1.242800000000000082e+01,2.000000000000000042e-02
5.726800144999986514e+04,1.243099999999999916e+01,2.000000000000000042e-02
5.727599636000022292e+04,1.234200000000000053e+01,2.000000000000000042e-02
5.738336004000017419e+04,1.246000000000000085e+01,2.000000000000000042e-02
5.739036572000011802e+04,1.243800000000000061e+01,2.000000000000000042e-02
5.739534257999993861e+04,1.238000000000000078e+01,2.000000000000000042e-02
5.740332041999977082e+04,1.244299999999999962e+01,2.000000000000000042e-02
5.740832887999992818e+04,1.238599999999999923e+01,2.000000000000000042e-02
5.740934891999978572e+04,1.244200000000000017e+01,2.000000000000000042e-02
