HJD,mag,emag
55267.9020130001,14.72694,0.03135
55267.921013,14.74983,0.03229
55267.9324070001,14.78909,0.03265
55267.9481779998,14.75329,0.03149
55267.966083,14.76532,0.03217
55267.9828630001,14.75326,0.03098
55267.9964120002,14.78144,0.03084
55268.0143889999,14.78509,0.03193
55268.0322420001,14.73985,0.03155
55268.0486130002,14.7401178631543,0.03074
55268.0738619999,14.7587487783332,0.03178
55268.0875550001,14.7596388220535,0.03237
55268.1013549999,14.7358676543776,0.03289
55268.1151569998,14.7170367293738,0.03223
55268.126737,14.7686692656427,0.03258
55268.140528,14.8064311205625,0.03269
55268.8985680002,14.81247,0.03713
55268.9166580001,14.8153,0.03347
55268.9280360001,14.79673,0.03311
55268.9438149999,14.81063,0.03282
55268.9617249998,14.82711,0.03232
55269.8968489999,14.82964,0.03393
55269.9126030002,14.81459,0.03359
55269.9239909998,14.79771,0.03328
55269.939766,14.84895,0.03336
55269.957676,14.8035,0.03229
55269.973518,14.76839,0.03178
55269.9870719998,14.86651,0.0331
55270.00508,14.85966,0.03274
55270.022988,14.80766,0.03405
55270.0392990001,14.8151615494145,0.03227
55272.8992240001,14.80062,0.03654
55272.9106290001,14.88866,0.0382
55272.9263889999,14.83249,0.0359
55272.9443049999,14.80572,0.03388
55272.9600960002,14.77665,0.03383
55272.9737,14.79151,0.0331
55273.8823589999,14.73298,0.038
55273.9004819999,14.78208,0.03531
55273.9118110002,14.8018,0.03415
55273.9275790001,14.75635,0.03396
55273.9455590001,14.77711,0.03308
55273.9613490002,14.75188,0.03382
55273.974899,14.72524,0.03312
55273.9929559999,14.73675,0.03437
55274.010795,14.77775,0.03262
55274.0271660001,14.7856500997671,0.03189
55274.0523580001,14.7663291506926,0.03306
55274.0660540001,14.7511484049913,0.03382
55274.0797930001,14.7825799489566,0.03413
55274.0936400001,14.7822399322545,0.03507
55274.105219,14.7254171410324,0.03645
55274.1190200001,14.7556286250665,0.0357
55274.1348819998,14.8000408066605,0.03532
55274.8927640002,14.77088,0.03699
55274.9042139999,14.83477,0.03455
55274.9199060001,14.78475,0.0349
55274.9378089998,14.75888,0.03486
55274.955784,14.73914,0.03417
55274.9692199999,14.73285,0.03416
55274.9872059999,14.77524,0.03446
55275.005109,14.7526,0.03455
55275.0210179999,14.73923,0.03479
55275.0458180001,14.8119013892704,0.03252
55275.059502,14.7838800128177,0.0331
55275.0732010002,14.7936604932498,0.03434
55275.0871040002,14.7891402712096,0.03481
55275.1008979999,14.7397378444872,0.03538
55275.1124800001,14.7557486309614,0.03751
55275.128331,14.7889302608936,0.0361
55275.1420200002,14.7630889915311,0.03698
55275.8865669998,14.78138,0.03702
55275.90325,14.81941,0.03587
55275.9146449999,14.8556,0.0348
55275.930406,14.76461,0.03443
55275.9483110001,14.82538,0.03215
55275.9649689999,14.83391,0.03195
55275.9786470002,14.79199,0.0314
55275.998774,14.78245,0.03283
55276.0146309999,14.80654,0.03192
55276.0394069999,14.7988707491855,0.03216
55276.055311,14.8095312728467,0.03262
55276.0691109998,14.8483231783642,0.03329
55276.0829070001,14.826632112866,0.03281
55276.0966969999,14.8073411652653,0.03167
55276.1082839998,14.7884102353492,0.03267
55276.124144,14.7434580272282,0.03234
55276.8828230002,14.73257,0.03729
55276.8994959998,14.78855,0.03507
55276.9108850001,14.79922,0.03447
55276.926581,14.75642,0.03446
55276.9445560002,14.76414,0.03463
55276.9613399999,14.7379,0.03565
55276.974891,14.76627,0.03508
55276.9950029999,14.74594,0.034
55277.0108699999,14.7253,0.03488
55277.0356549998,14.7643290524448,0.03255
55277.0515620001,14.7791197789878,0.03191
55277.0653639999,14.7974506794295,0.03249
55277.079165,14.8006308356437,0.03306
55277.0929649998,14.76057886823,0.03314
55277.1045519998,14.7580987464027,0.03323
55277.1183469999,14.7548785882236,0.03382
55277.1320349998,14.7562386550321,0.03447
55277.1457239999,14.7812398831305,0.03487
55279.8718869998,14.75448,0.04861
55279.8855269998,14.74138,0.04706
55279.89482,14.81513,0.04437
55279.9085329999,14.80886,0.04313
55279.9243839998,14.76709,0.04299
55279.9402549998,14.82729,0.04066
55279.9538119999,14.78389,0.0385
55279.971802,14.81506,0.03382
55279.9897190002,14.78668,0.03267
55280.0055809999,14.76732,0.03314
55280.0303770001,14.7818299121137,0.03053
55280.044067,14.7371377167649,0.031
55280.0578700001,14.8444629887458,0.03142
55280.071674,14.7873701842603,0.03228
55280.0854739999,14.7857201032058,0.03319
55280.0970600001,14.7264471916301,0.0334
55280.1108590001,14.7683592504142,0.03424
55280.1245510001,14.8158915852749,0.03501
55280.138233,14.7676192140625,0.03588
55280.8608980002,14.77209,0.05555
55280.8720120001,14.71781,0.05367
55280.880624,14.77447,0.05053
55280.887079,14.78194,0.0504
55280.8965250002,14.84878,0.05069
55280.9059649999,14.74993,0.04915
55280.9154119999,14.75049,0.04926
55280.9269380001,14.7675,0.04722
55280.9385870001,14.70703,0.04728
55280.9531669999,14.7057,0.04605
55280.9624549998,14.72701,0.04584
55280.9761669999,14.7819,0.04573
55280.992021,14.77104,0.04343
55281.0083349999,14.7330075138831,0.03902
55281.0335880001,14.7657891241657,0.03449
55281.0472829999,14.7920104121953,0.03553
55281.0610830002,14.7593588082988,0.0345
55281.0748729999,14.7559886427511,0.03509
55281.0864579999,14.7365676887643,0.03518
55281.1002580002,14.7603888588965,0.0351
55281.113905,14.8034109722082,0.03428
55281.1275909999,14.7873201818041,0.03437
55281.1412849999,14.7873401827865,0.03557
55292.8309269999,14.74688,0.03362
55292.8489979999,14.77467,0.03206
55292.8603830002,14.77791,0.03131
55292.8761680001,14.7821,0.03143
55292.894082,14.7302,0.03031
55292.9099599998,14.75136,0.02963
55292.9235140001,14.76151,0.03133
55292.9415059998,14.74813,0.03163
55292.9593529999,14.76109,0.03309
55292.9756769999,14.7592688038777,0.03219
55293.000943,14.8573336209708,0.03325
55293.0146920001,14.7858401091006,0.03434
55293.028498,14.7834199902207,0.03443
55293.0423110002,14.8297422656414,0.03521
55293.0539040002,14.802690936839,0.03519
55293.0677029998,14.7738395196134,0.03665
55293.0792899998,14.7917003969669,0.03737
55293.0888089999,14.790910358159,0.0392
55293.0983449998,14.7890002643323,0.03975
55293.1069519999,14.7887702530338,0.04114
55293.115619,14.8202017969991,0.03993
55293.1243210002,14.7849100634154,0.0405
55293.132983,14.802650934874,0.04078
55293.829866,14.76788,0.03632
55293.847964,14.75055,0.03478
55293.859379,14.77457,0.03451
55293.8751480002,14.80776,0.03329
55293.8930480001,14.77009,0.03331
55293.9089259999,14.76062,0.03169
55293.9224879998,14.79189,0.03191
55293.9404799999,14.75952,0.03139
55293.9583959999,14.77816,0.03162
55293.9747250001,14.7530885002917,0.03192
