MJD,mag,emag
5.188735962999984622e+04,1.223424999999999940e+01,2.360217151026574450e-02
5.190034297000011429e+04,1.221824999999999939e+01,1.885636497313307805e-02
5.190334677999978885e+04,1.222025000000000006e+01,1.929540100645747019e-02
5.190535319000016898e+04,1.221049999999999969e+01,1.853712491191662412e-02
5.190734975000005215e+04,1.233699999999999974e+01,1.619799370292506271e-02
5.191430180000001565e+04,1.227724999999999866e+01,2.033623613159524571e-02
5.191930822000000626e+04,1.221074999999999910e+01,2.063068103577775717e-02
5.192130734999990091e+04,1.218675000000000175e+01,1.805200819853569616e-02
5.192437395999999717e+04,1.216900000000000048e+01,1.768473918382739221e-02
5.192536420000018552e+04,1.219350000000000023e+01,1.708069085253872271e-02
5.192635595000023022e+04,1.227650000000000041e+01,1.634969418674245625e-02
5.192838743000011891e+04,1.219899999999999984e+01,1.943096755182304250e-02
5.193029538000002503e+04,1.229175000000000040e+01,1.643738117827776152e-02
5.193229289999976754e+04,1.224899999999999878e+01,1.675186556775095509e-02
5.193524429999990389e+04,1.221074999999999910e+01,1.728076965878545465e-02
5.193732426000013947e+04,1.219249999999999901e+01,1.701837242511750753e-02
5.193932629000023007e+04,1.233575000000000088e+01,1.623653288112951801e-02
5.194624955999990925e+04,1.233375000000000021e+01,1.914908614007467327e-02
5.194828841000003740e+04,1.223249999999999993e+01,1.802428916767593106e-02
5.195327755999984220e+04,1.213375000000000092e+01,1.775880063517804031e-02
5.195429726999998093e+04,1.211174999999999891e+01,2.122056785291100492e-02
5.195530500999977812e+04,1.233900000000000041e+01,1.796524422322168246e-02
5.195829738999996334e+04,1.230324999999999847e+01,1.881322673014918997e-02
5.196128561000013724e+04,1.223075000000000045e+01,1.858426754004579781e-02
5.196430115999979898e+04,1.235650000000000048e+01,1.761568902995281488e-02
5.196528299000021070e+04,1.231925000000000026e+01,1.783080200103180982e-02
5.196629887000005692e+04,1.221825000000000117e+01,1.810904470147445267e-02
5.196731277999980375e+04,1.225124999999999886e+01,1.939394235321946838e-02
5.196731277999980375e+04,1.227350000000000030e+01,1.939394235321946838e-02
5.197631477000005543e+04,1.220674999999999955e+01,2.246803284669132011e-02
5.198224142999993637e+04,1.243750000000000000e+01,2.064279535334301308e-02
5.202513767000008374e+04,1.222100000000000009e+01,1.925649241165171277e-02
5.202615034999977797e+04,1.234849999999999959e+01,1.925649241165171277e-02
5.202714005000004545e+04,1.223925000000000018e+01,2.132486811213612360e-02
5.203012425999995321e+04,1.231099999999999994e+01,2.209355109528569894e-02
5.203114802000019699e+04,1.218599999999999994e+01,2.071231517720797943e-02
5.203213127999985591e+04,1.226175000000000104e+01,1.758195097251724279e-02
5.203713162000011653e+04,1.216825000000000045e+01,2.249999999999999917e-02
5.205207021000003442e+04,1.232700000000000173e+01,2.416997103846009812e-02
5.205310085000004619e+04,1.217699999999999960e+01,2.151307741816591013e-02
5.205410627999994904e+04,1.226275000000000048e+01,2.464117489082044352e-02
5.205608731999993324e+04,1.219125000000000014e+01,2.040680033714251801e-02
5.205707798000006005e+04,1.220374999999999943e+01,2.319752141932409154e-02
5.206704002000018954e+04,1.216499999999999915e+01,2.263294059551254969e-02
5.206805604000017047e+04,1.221300000000000097e+01,2.358230268654865763e-02
5.206906313000014052e+04,1.219875000000000043e+01,2.108020398383279523e-02
5.207005347000015900e+04,1.216774999999999984e+01,2.076505477960508342e-02
5.208102203000010923e+04,1.232649999999999935e+01,2.257487541493861938e-02
5.208502069000015035e+04,1.224024999999999963e+01,1.797741638834679523e-02
5.208602492999983951e+04,1.218274999999999864e+01,2.305157261446602601e-02
5.208701629000017419e+04,1.234424999999999883e+01,2.323386536932673177e-02
5.208801723999995738e+04,1.228200000000000003e+01,1.937620963965863002e-02
5.209298634999990463e+04,1.227374999999999972e+01,2.213029597633072929e-02
5.210197461999999359e+04,1.222300000000000075e+01,2.103716948641142642e-02
5.210403232999984175e+04,1.233300000000000196e+01,1.872998932194036223e-02
5.210603224000008777e+04,1.226374999999999993e+01,1.843061312056655174e-02
5.211510421000001952e+04,1.223349999999999937e+01,2.069722203581920300e-02
5.211700166000006720e+04,1.229300000000000104e+01,1.967708057614238684e-02
5.212498345000017434e+04,1.230375000000000085e+01,1.938104744331430734e-02
5.212898604999994859e+04,1.225925000000000153e+01,1.748392118490586095e-02
5.213102651000022888e+04,1.222374999999999901e+01,1.670703444660362122e-02
5.213398310999991372e+04,1.221100000000000030e+01,1.786581932070287204e-02
5.214097764999978244e+04,1.229449999999999932e+01,1.871496727221290055e-02
5.214397654999978840e+04,1.218800000000000061e+01,2.001561890124809590e-02
5.244004436000017449e+04,1.229449999999999932e+01,1.473516202829137575e-02
5.244203494000015780e+04,1.223625000000000007e+01,1.559647396048222112e-02
5.244303477999987081e+04,1.227425000000000033e+01,1.515132007450176004e-02
5.245200158999999985e+04,1.228299999999999947e+01,1.690783841891091779e-02
5.245403886999981478e+04,1.227625000000000099e+01,1.694476320283054213e-02
5.245600694999983534e+04,1.238624999999999865e+01,1.792693504199755969e-02
5.245899723999993876e+04,1.227399999999999913e+01,1.561449646962718985e-02
5.246399043999984860e+04,1.229374999999999929e+01,1.782379028153103021e-02
5.246598663999978453e+04,1.232450000000000045e+01,1.711359109012482865e-02
5.246801269999984652e+04,1.232724999999999937e+01,1.638406237781094357e-02
5.246999900999991223e+04,1.225975000000000037e+01,1.835585737578062510e-02
5.249399729999992996e+04,1.227175000000000082e+01,1.938910776699123706e-02
5.249697112999996170e+04,1.229599999999999937e+01,1.918006777881663127e-02
5.249899878000002354e+04,1.227974999999999994e+01,1.800520758003083810e-02
5.262335525000002235e+04,1.223024999999999807e+01,1.729884389200619238e-02
5.263533658999996260e+04,1.236524999999999963e+01,1.552216157627538812e-02
5.263933442000020295e+04,1.227275000000000027e+01,1.516987145627806712e-02
5.264332843000022694e+04,1.225899999999999856e+01,1.629992331270303796e-02
5.264632671000016853e+04,1.227500000000000036e+01,1.461591598224346727e-02
5.265234126000013202e+04,1.233024999999999949e+01,1.513687550322060336e-02
5.265735313000017777e+04,1.230525000000000091e+01,1.704222696715426352e-02
5.265935587000008672e+04,1.216999999999999815e+01,1.872665213005250684e-02
5.266229431999986991e+04,1.227200000000000024e+01,1.774647852392130173e-02
5.266432248000008985e+04,1.230550000000000033e+01,1.498123826657863505e-02
5.266732384000020102e+04,1.235474999999999923e+01,1.578765340384694418e-02
5.267033235999988392e+04,1.229725000000000001e+01,1.505406921732459734e-02
5.267331846000021324e+04,1.234124999999999872e+01,1.512861527040726926e-02
5.267629007000010461e+04,1.229824999999999946e+01,1.492062331137677250e-02
5.267831046999990940e+04,1.226424999999999876e+01,1.575793450931942466e-02
5.268030483999988064e+04,1.239375000000000071e+01,1.792170471802278023e-02
5.268429442999977618e+04,1.245575000000000010e+01,1.669955089216473496e-02
5.268629365999996662e+04,1.234499999999999886e+01,1.530318594280288998e-02
5.269028786000004038e+04,1.243374999999999986e+01,1.745709025009609117e-02
5.269329440000001341e+04,1.231949999999999967e+01,1.507895885000022120e-02
5.270032622999977320e+04,1.224274999999999913e+01,1.797393946801869105e-02
5.270128134000021964e+04,1.226099999999999923e+01,1.684859044549424575e-02
5.270328659000014886e+04,1.235999999999999943e+01,1.630567385912032666e-02
5.270430605999985710e+04,1.231775000000000020e+01,1.461591598224346727e-02
5.270526759999990463e+04,1.218325000000000102e+01,1.544951455548037623e-02
5.270629237999999896e+04,1.229549999999999876e+01,1.495827530165159090e-02
5.271224196999985725e+04,1.228899999999999970e+01,1.649431720320668551e-02
5.271423124000011012e+04,1.224225000000000030e+01,1.649052758404048399e-02
5.271723761000018567e+04,1.225474999999999959e+01,1.522538997858511288e-02
5.272028855999978259e+04,1.227125000000000021e+01,1.666208270295163260e-02
5.272223019000003114e+04,1.232049999999999912e+01,1.349305376851363605e-02
5.272624655999988317e+04,1.234149999999999991e+01,1.358537816919352589e-02
5.272824195999978110e+04,1.225849999999999973e+01,1.498749478732186273e-02
5.273024065000005066e+04,1.226999999999999957e+01,1.426753307338027646e-02
5.273323445999994874e+04,1.228300000000000125e+01,1.410452055193653180e-02
5.273523082000017166e+04,1.226024999999999920e+01,1.444818327679989016e-02
5.273719030999997631e+04,1.230524999999999913e+01,1.491224329200673861e-02
5.273921945000020787e+04,1.232874999999999943e+01,1.476270639144462542e-02
5.274119139999989420e+04,1.227625000000000099e+01,1.403789514136645836e-02
5.274233982999995351e+04,1.233975000000000044e+01,1.779922751132756442e-02
5.274416808000020683e+04,1.222850000000000037e+01,1.546568782822154396e-02
5.274724270999990404e+04,1.234750000000000014e+01,1.645448267190433370e-02
5.275028024999983609e+04,1.231850000000000023e+01,1.968660712261002810e-02
5.275219638000009581e+04,1.235650000000000048e+01,1.572617245231655234e-02
5.275513573000021279e+04,1.229724999999999824e+01,1.481131324359862521e-02
5.275631163999997079e+04,1.225000000000000000e+01,1.421047149112231352e-02
5.275829657999984920e+04,1.229374999999999929e+01,1.500416608812365701e-02
5.276016870999988168e+04,1.228974999999999973e+01,1.373635686781615392e-02
5.276133235999988392e+04,1.228500000000000014e+01,1.889940475253122643e-02
5.276313593999994919e+04,1.231599999999999895e+01,1.649810595189641835e-02
5.276423211999982595e+04,1.230025000000000013e+01,1.605848685275172716e-02
5.276626256000017747e+04,1.222650000000000148e+01,1.485765795810362576e-02
5.277014769000001252e+04,1.229725000000000001e+01,1.313392553656369741e-02
5.278210894999979064e+04,1.226149999999999984e+01,1.502497920131671931e-02
5.278324452000018209e+04,1.230449999999999733e+01,1.774119499921016779e-02
5.278517444000020623e+04,1.228975000000000151e+01,1.473091986265623668e-02
5.278712794000003487e+04,1.229724999999999824e+01,1.457523584714840933e-02
5.279015332000004128e+04,1.228000000000000114e+01,1.439618004888796980e-02
5.279124948000023142e+04,1.227625000000000099e+01,1.772180859844727993e-02
5.280423543999996036e+04,1.220124999999999993e+01,1.891262805640718178e-02
5.280824115000013262e+04,1.225250000000000128e+01,1.648673709379754743e-02
5.281009182999981567e+04,1.232249999999999979e+01,1.437445651146505160e-02
5.281206452000001445e+04,1.228500000000000014e+01,1.492481155659929927e-02
5.282008992000017315e+04,1.232099999999999973e+01,1.483450369914679663e-02
5.283003873000014573e+04,1.232124999999999915e+01,1.462446580220966644e-02
5.283115638000005856e+04,1.231250000000000000e+01,1.620185174601964859e-02
5.284007043999992311e+04,1.226325000000000109e+01,1.481764151273744397e-02
5.284206872999994084e+04,1.227349999999999852e+01,1.843061312056655521e-02
5.284505653000017628e+04,1.231099999999999994e+01,1.486817070119925664e-02
5.285099563999986276e+04,1.237575000000000003e+01,1.417303778305836585e-02
5.285312723999982700e+04,1.230599999999999916e+01,1.574206149143116476e-02
5.285907089000009000e+04,1.224750000000000050e+01,1.503121751555741396e-02
5.286107789999991655e+04,1.235550000000000104e+01,1.601756847964134686e-02
5.286502430999977514e+04,1.230674999999999919e+01,1.681517172080023576e-02
5.286706430000020191e+04,1.232500000000000107e+01,1.472879832165543620e-02
5.287197935000015423e+04,1.229274999999999984e+01,1.463301062666189784e-02
5.287504075999977067e+04,1.224150000000000027e+01,1.592364593929417732e-02
5.288600402999995276e+04,1.237424999999999997e+01,1.449784466739797995e-02
5.289498083999985829e+04,1.229100000000000037e+01,1.420607264517537334e-02
5.299435479999985546e+04,1.230100000000000193e+01,1.592757043619647678e-02
5.300334782999986783e+04,1.229599999999999937e+01,1.542927412420947234e-02
5.301133410000009462e+04,1.239250000000000185e+01,1.690229274388536929e-02
5.301732574999984354e+04,1.230749999999999922e+01,1.494364413387845765e-02
5.302535666000004858e+04,1.234875000000000078e+01,1.436140661634507237e-02
5.303032965999981388e+04,1.236875000000000036e+01,1.752498216832188566e-02
5.303430849999981001e+04,1.231600000000000072e+01,1.455592662800963763e-02
5.304231368000013754e+04,1.229849999999999888e+01,1.516369018412075040e-02
5.305131956999981776e+04,1.226099999999999923e+01,1.533378622519565582e-02
5.305431902999989688e+04,1.242950000000000088e+01,1.533378622519565582e-02
5.305734654999990016e+04,1.232375000000000043e+01,1.487867601636650924e-02
5.306029752000002190e+04,1.236749999999999972e+01,1.521307003862139642e-02
5.306926893999986351e+04,1.238625000000000043e+01,1.881820926655881215e-02
5.307129819000000134e+04,1.232150000000000034e+01,1.680401737680605953e-02
5.307531395999994129e+04,1.232699999999999996e+01,1.569832793643960098e-02
5.307823842999991030e+04,1.228399999999999892e+01,1.653405576378644964e-02
5.308029475999996066e+04,1.236074999999999946e+01,1.706238553075155664e-02
5.308527814000006765e+04,1.236650000000000027e+01,1.664143924064261787e-02
5.308727747000008821e+04,1.240574999999999939e+01,1.791821698718932057e-02
5.309021578000020236e+04,1.231899999999999906e+01,1.866648065383509983e-02
5.309225535999983549e+04,1.239300000000000068e+01,1.393960185945065065e-02
5.309625638000015169e+04,1.241525000000000034e+01,1.508724626961461222e-02
5.309824440999981016e+04,1.246349999999999980e+01,1.507895885000022120e-02
5.310024638999998569e+04,1.223199999999999932e+01,1.579161169735375861e-02
5.310324208999983966e+04,1.245274999999999999e+01,1.508310312899835588e-02
5.310523757999995723e+04,1.236599999999999966e+01,1.877831195821392379e-02
5.310724057999998331e+04,1.248274999999999935e+01,1.438314986364252687e-02
5.310924078000010923e+04,1.235100000000000087e+01,1.382931668593933086e-02
5.311133014000020921e+04,1.229550000000000054e+01,1.554027026792005432e-02
5.311415220999997109e+04,1.229975000000000129e+01,1.495200655430567981e-02
5.311619970000023022e+04,1.230625000000000036e+01,1.425000000000000051e-02
5.312117701000021771e+04,1.230224999999999902e+01,1.397542485937368524e-02
5.312516722999978811e+04,1.234049999999999869e+01,1.496871737992270385e-02
5.313017006999999285e+04,1.232099999999999795e+01,1.620763708873073153e-02
5.313217597999982536e+04,1.237725000000000009e+01,1.546164609606622692e-02
5.313417619000002742e+04,1.238700000000000045e+01,1.471606265276143716e-02
5.314217934999987483e+04,1.228675000000000139e+01,1.421047149112231352e-02
5.314519585999986157e+04,1.233699999999999974e+01,1.603901493234544118e-02
5.315309892999986187e+04,1.229025000000000034e+01,1.544142156668225872e-02
5.315512510999990627e+04,1.226149999999999807e+01,1.516369018412075213e-02
5.315817138999979943e+04,1.230474999999999852e+01,1.629033455764490948e-02
5.316017330999998376e+04,1.239850000000000030e+01,1.655672068979844799e-02
5.316318296999996528e+04,1.240374999999999872e+01,1.690599006269671509e-02
5.316517726999986917e+04,1.234149999999999991e+01,1.592953232207399220e-02
5.317118549000006169e+04,1.226200000000000045e+01,1.470756608008272695e-02
5.317517299999995157e+04,1.235224999999999973e+01,1.546164609606622692e-02
5.317724244999978691e+04,1.220425000000000004e+01,1.776583800443986769e-02
5.318010325000016019e+04,1.228824999999999967e+01,1.488707493095940693e-02
5.318501994000002742e+04,1.230574999999999974e+01,1.534193599256625760e-02
5.318705230000009760e+04,1.227925000000000111e+01,1.530114374809935646e-02
5.319008929000003263e+04,1.226324999999999932e+01,1.519662791542913428e-02
5.338831836999999359e+04,1.243074999999999974e+01,2.345341126574128354e-02
5.339134103999985382e+04,1.246174999999999855e+01,2.103716948641142642e-02
5.339334385999990627e+04,1.214249999999999829e+01,2.350265942398859637e-02
5.339535234000021592e+04,1.229199999999999982e+01,2.060794749605112872e-02
5.339930447999993339e+04,1.229500000000000171e+01,2.362731470142132029e-02
5.340530813999986276e+04,1.222025000000000006e+01,2.032393908670265467e-02
5.340833930000010878e+04,1.233549999999999969e+01,1.738174329576869584e-02
5.341133305000001565e+04,1.226749999999999829e+01,1.935523185084591161e-02
5.341431897999998182e+04,1.239850000000000030e+01,1.659819267269783266e-02
5.341731933999992907e+04,1.236724999999999852e+01,2.225140445005662979e-02
5.342533342000003904e+04,1.228624999999999901e+01,1.984628428698934077e-02
5.343134051000000909e+04,1.228774999999999906e+01,2.168380732251603410e-02
5.343828280999977142e+04,1.229925000000000068e+01,1.752854814295810165e-02
5.344228282999992371e+04,1.237975000000000136e+01,1.829788239114023621e-02
5.344429583000019193e+04,1.232150000000000034e+01,2.013858237314632843e-02
5.344633330000005662e+04,1.232975000000000065e+01,2.443614126657480193e-02
5.345024762000003830e+04,1.247525000000000084e+01,2.297553046177606972e-02
